nome,instagram,categoria_principal,categorias_exibicao,subcategoria_final,acao_sugerida,observacao,posts_no_ano,ultimo_post,telefone,endereco,ja_no_guia,resumo,links_posts
Yourheropets,@yourheropets,Pets,Pets,Pet shop / cuidados pet,Listar,,6,2025-11-09,11944576999,"Rua Palacete das Águias, 909 Vila Alexandria / SP; Rua Palacete das Águias, 909 — Vila Alexandria / SP; Rua Palacete das Águias, 909 Vila Mascote, São Paulo; Rua Palacete das Águias, 909 Vila Mascote São Paulo; Rua Palacete das Águias, 909 – Vila Mascote",sim,"🐾 O @yourheropets é referência na Vila Mascote quando o assunto é cuidado e bem-estar dos pets! 💛🐶🐱 Há mais de dois anos na região, o espaço conquista tutores e peludos com um atendimento acolhedor e serviços de qualidade. Não é à toa que tem tanta procura! 💕 Mais do que um banho diferenciado, o Your Hero Pets oferece ração, acessórios, farmácia, consultório veterinário e muito mais — sempre com preços justos e um at",https://www.instagram.com/p/DQ1_AyRDszI/; https://www.instagram.com/p/DPtnyMZDgoo/; https://www.instagram.com/p/DOlh1O4Dkd-/; https://www.instagram.com/p/DM5qXo7RkIz/; https://www.instagram.com/p/DLxVQ7Psjop/; https://www.instagram.com/p/DKpIa4wMrL1/
Padaria Orquídea Pérola,,Padaria,Padaria,A confirmar,Listar,Cadastro criado a partir da conversa no WhatsApp. Revisar campos pendentes quando necessario.,0,,(11) 5564-6901,"Rua Palestina, 552 – Vila Mascote, São Paulo",sim,Padaria Orquídea Pérola: estabelecimento para cadastrar no Guia Vila Mascote.,https://vilamascote.com.br/index.php/nosso-bairro/delivery/3914/padaria-orquidea-perola?utm_source=openai
Brazucas,,Revisar / Nao listar,Revisar / Nao listar,Conteudo / post editorial,Nao listar,Nao parece estabelecimento independente; manter apenas como referencia do scrap.,2,2026-02-22,,"Na edição passada foram mais de 1.000 foliões na rua e mais de 100kg de alimentos arrecadados. E esse ano a energia já mostrou que vai ser ainda maior.; Brazucas Wines – Av. Damasceno Vieira, 751 – Vila Mascote; Sai do Brazucas, segue pela Avenida Damasceno Vieira, entra na Rua Tianguá, continua pela Avenida Mascote e retorna pela Avenida Damasceno Vieira até o Brazucas.; rua e mais de 100kg de alimentos arrecadados. E esse ano a energia já mostrou que vai ser ainda maior; Av. Damasceno Vieira, 751 – Vila Mascote; Na edição passada foram mais de 1.000 foliões na rua e mais de 100kg de alimentos arrecadados. E esse ano tem tudo pra superar essa marca. Anota na agenda:; Av. Damasceno Vieira, 751, Vila Mascote; O trajeto sai do Brazucas, segue pela Avenida Damasceno Vieira, entra na Rua Tianguá, continua pela Avenida Mascote e retorna pela Avenida Damasceno Vieira até o Brazucas, encerrando o percurso.; rua e mais de 100kg de alimentos arrecadados. E esse ano tem tudo pra superar essa marca. Anota na agenda:",não,"É hoje! Os abadás do Bloquinho do Seu Bebelier Vila Mascote 2026 ESGOTARAM! Mas todos estão convidados, com ou sem abadá. Inclusive, pode até ir com abadá do ano passado. Na edição passada foram mais de 1.000 foliões na rua e mais de 100kg de alimentos arrecadados. E esse ano a energia já mostrou que vai ser ainda maior. 📅 HOJE, 22/02 ⏰ Concentração: 13h 🎉 Desfile: 15h30 ⏳ Encerramento: 18h 📍 Brazucas Wines – Av. Dam",https://www.instagram.com/p/DVDx2MAjkCl/; https://www.instagram.com/p/DUONC9gDvD6/
Cortaz,@cortaz,Revisar / Nao listar,Revisar / Nao listar,Conteudo / post editorial,Nao listar,Nao parece estabelecimento independente; manter apenas como referencia do scrap.,1,2025-09-07,,,não,"O ator Milhem Cortaz (@cortaz) tem uma ligação antiga especial com a nossa região. No Talk Show feito na Mascote, o @negociosapartets, ele contou que já morou na Vieira de Moraes, passava pela Vila Mascote em suas caminhadas e até deu aula em um colégio daqui. Desta vez, voltou para participar do programa, produzido no @agoorahub, para falar sobre a sua padaria artesanal: @cortazopao. É fácil assistir: basta acessar ",https://www.instagram.com/p/DOTw0sVjuXm/
ENCONTROU SEU PRÉDIO AÍ?,,Revisar / Nao listar,Revisar / Nao listar,Conteudo / post editorial,Nao listar,Nao parece estabelecimento independente; manter apenas como referencia do scrap.,1,2025-12-19,,,não,"ENCONTROU SEU PRÉDIO AÍ? Registramos a maior parte das fachadas iluminadas do bairro para a nossa tradicional vinheta de fim de ano. Mas fomos até a porta da casa de vocês também para agradecer. Agradecer por estarem aqui sempre com a gente, por sua companhia, por mais um ano juntos. Que o espírito natalino permaneça durante todos os próximos 12 meses. Na conversa rápida do elevador, no bom dia pro porteiro, no cuida",https://www.instagram.com/p/DSdZhWHDisf/
Gostou da versão congelada da Mascote? Comenta aqui! 🧤👇,,Revisar / Nao listar,Revisar / Nao listar,Conteudo / post editorial,Nao listar,Nao parece estabelecimento independente; manter apenas como referencia do scrap.,1,2025-06-15,,,não,"[PASSE PARA O LADO] Já imaginou se nevasse na Mascote? ❄️ A gente imaginou… e ficou assim! Enquanto isso, na vida real, seguimos com o friozinho paulistano — mas não dá pra reclamar, né? Pelo menos por aqui não tem temperatura negativa de verdade. Gostou da versão congelada da Mascote? Comenta aqui! 🧤👇 #VilaMascote",https://www.instagram.com/p/DK7m2SfxUlA/
Natal,,Revisar / Nao listar,Revisar / Nao listar,Conteudo / post editorial,Nao listar,Nao parece estabelecimento independente; manter apenas como referencia do scrap.,1,2025-11-26,1155656133,,não,"O sabor do Natal já chegou à Saboriê! Nosso cardápio especial está repleto de delícias preparadas com todo o carinho e o toque artesanal que faz parte da nossa cozinha. 💛 Torne sua ceia inesquecível com pratos e sobremesas que encantam pela apresentação e pelo sabor! 📅 Encomendas até o dia 15 de dezembro. Garanta a sua antecipadamente e viva um Natal cheio de amor, sabor e aconchego. Faça seu pedido pelo WhatsApp: (1",https://www.instagram.com/p/DRhUQssjRhj/
"O condomínio conta com piscina, quadra, salão de festas e churrasqueira.😍",,Revisar / Nao listar,Revisar / Nao listar,Conteudo / post editorial,Nao listar,Nao parece estabelecimento independente; manter apenas como referencia do scrap.,1,2026-03-24,11976374738,"Rua Engenheiro Jorge Oliva, com 3 quartos, sendo 1 suíte, sala com varanda integrada, cozinha, 2 banheiros e 1 vag",não,"Se você procura um imóvel residencial aqui na Mascote, dá uma olhada nessa ótima oportunidade que a corretora Luciene trouxe pra gente: ✅ Apartamento de 72m² com móveis planejados na Rua Engenheiro Jorge Oliva, com 3 quartos, sendo 1 suíte, sala com varanda integrada, cozinha, 2 banheiros e 1 vaga de garagem. 🤩 O condomínio conta com piscina, quadra, salão de festas e churrasqueira.😍 💰 Valor de venda R$ 750.000,00 💰 ",https://www.instagram.com/p/DWRTGJoDpnR/
Seu Bebelier Vila Mascote 2026 aconteceu hoje,,Revisar / Nao listar,Revisar / Nao listar,Conteudo / post editorial,Nao listar,Nao parece estabelecimento independente; manter apenas como referencia do scrap.,1,2026-02-22,,"Rua cheia, vizinhos juntos, comércio participando e aquela energia que só quem mora aqui entende.",não,"O Bloquinho do Seu Bebelier Vila Mascote 2026 aconteceu hoje e nosso bairro mostrou mais uma vez sua força. Rua cheia, vizinhos juntos, comércio participando e aquela energia que só quem mora aqui entende. A Vila Mascote fez história!",https://www.instagram.com/p/DVE5UTpDtNc/
Tem novidade chegando aqui na Mascote… 👀,,Revisar / Nao listar,Revisar / Nao listar,Conteudo / post editorial,Nao listar,Nao parece estabelecimento independente; manter apenas como referencia do scrap.,1,2026-04-13,,,não,"Tem novidade chegando aqui na Mascote… 👀 Uma empresa que junta gráfica e logística está prestes a abrir por aqui, com envios, impressão e ponto de coleta de grandes plataformas, tudo aqui pertinho. 😍📦 Previsão para início de maio e a gente te conta mais detalhes em breve.🤫 #gráfica #impressão #logística #vilamascote",https://www.instagram.com/p/DXE2wPbDj-_/
Tá chegando o Festival de baguete na Recanto da Mascote!,,Revisar / Nao listar,Revisar / Nao listar,Conteudo / post editorial,Nao listar,Nao parece estabelecimento independente; manter apenas como referencia do scrap.,1,2026-02-25,,"Av. Mascote, 952",não,"Tá chegando o Festival de baguete na Recanto da Mascote! De R$27,90 por R$17,90 Qualquer sabor. Tem baguete mista, só queijo, frango, calabresa, presunto e queijo, peito de peru com queijo, brócolis e muito mais. 📅 Dias 27 e 28 de fevereiro e 1º de março 📍 Recanto da Mascote Av. Mascote, 952",https://www.instagram.com/p/DVL1pFBDk-s/
Vila Mascote,,Revisar / Nao listar,Revisar / Nao listar,Conteudo / post editorial,Nao listar,Nao parece estabelecimento independente; manter apenas como referencia do scrap.,1,2025-12-12,,,não,"Desde a manhã de quarta-feira, 10 de dezembro, São Paulo enfrenta um apagão que ainda afeta grande parte da cidade. Mesmo dias depois do temporal, cerca de 700 mil imóveis seguem sem energia na capital e na região metropolitana. No pior momento da crise, mais de 2 milhões de residências ficaram sem luz. A Vila Mascote está entre os bairros impactados. Moradores relatam prédios e casas sem energia há dias, com reflexo",https://www.instagram.com/p/DSKkEjWDqIH/
Vilamascote.hightorque,@vilamascote.hightorque,Revisar / Nao listar,Revisar / Nao listar,Revisar / Nao listar,Revisar,Categoria nao ficou clara pelo texto extraido.,8,2026-02-11,11947243537,"Rua Lamelas, 61",sim,"Você sabia que a @vilamascote.hightorque não atende algumas linhas de corte de veículos? O Paulo explica melhor pra gente no vídeo. 🚘☺️ A oficina fica aqui no bairro e nós somos clientes há anos.🔧✅ São diversas opções de serviços para o seu carro: revisão, alinhamento 3D, injeção eletrônica, freios, suspensão e balanceamento computadorizado, troca de óleo, entre outros, sempre com atendimento de confiança e um índice",https://www.instagram.com/p/DUnzaOpjup7/; https://www.instagram.com/p/DTdqEyljNb6/; https://www.instagram.com/p/DR0F41djhXM/; https://www.instagram.com/p/DQ4SnRFjn2P/; https://www.instagram.com/p/DPjYrDSjpKT/; https://www.instagram.com/p/DObMbccjq56/; https://www.instagram.com/p/DNVsk3duotA/; https://www.instagram.com/p/DMIbLgTMknr/
🍴 Entradas,,Revisar / Nao listar,Revisar / Nao listar,Conteudo / post editorial,Nao listar,Nao parece estabelecimento independente; manter apenas como referencia do scrap.,1,2025-08-07,1155638008; 11966329332,"Rua Palestina, 260 – Vila Mascote, São Paulo – SP",não,"🎉 Neste Dia dos Pais, que tal celebrar com uma verdadeira experiência gastronômica? 🩵 O Bacalhau do Guga preparou um menu especial para encomendas com o melhor da culinária portuguesa, pra você curtir em casa com a família! 🇵🇹🍽️ 🍴 Entradas: • Bolinho de bacalhau • Punhetinha • Alheira 🥘 Prato principal: • Bacalhau Gomes de Sá • Bacalhau com Natas • Bacalhau à Lagareiro (todos os pratos acompanham arroz) 🍮 E pra fecha",https://www.instagram.com/p/DNEabFtR5ZK/
Alinenaveganutri,@alinenaveganutri,Saude & Clinicas,Saude & Clinicas,Nutricionista,Listar,,10,2026-05-13,1123658919,"Rua Albuquerque Sousa Muniz, 299",não,"🎫 10% OFF APRESENTANDO UM PRINT DESSE POST Tem dúvidas sobre como utilizar o Mounjaro para emagrecer? A @alinenaveganutri explica pra gente. 😊💉 Arraste para o lado e confira. 👉✅ A Dra. Aline atende aqui no bairro e tem mais de 10 anos de experiência como nutricionista. 🤩🍏🥕 A proposta da clínica é oferecer um atendimento nutricional personalizado para adolescentes e adultos, com foco em emagrecimento e nutrição bariát",https://www.instagram.com/p/DYSG8IgjhJo/; https://www.instagram.com/p/DW1aUW_jjOI/; https://www.instagram.com/p/DVqs7FnDvnQ/; https://www.instagram.com/p/DUinkkVjgiS/; https://www.instagram.com/p/DTsmS5rjprN/; https://www.instagram.com/p/DSAYOj_joyN/; https://www.instagram.com/p/DQ60FoFDrWU/; https://www.instagram.com/p/DPohHsVDllU/; https://www.instagram.com/p/DOWuBp5jlcU/; https://www.instagram.com/p/DLs3km7Ozc-/
Carlaazevedogm,@carlaazevedogm,Saude & Clinicas,Saude & Clinicas,Psicologia / terapias,Listar,,1,2026-01-26,11952733424,,não,"Cuidar da saúde mental faz toda a diferença na forma como a gente vive o dia a dia. 💛🤝 A @carlaazevedogm é psicóloga, nossa vizinha, com mais de 10 anos de experiência na área. O atendimento é totalmente online, ideal para quem busca praticidade sem abrir mão de um acompanhamento profissional e acolhedor. ☺️👩🏻‍💻 Ela trabalha com Terapia Cognitivo Comportamental (TCC), ajudando em questões como ansiedade, depressão, b",https://www.instagram.com/p/DT-i12wjvL6/
Clínicaamandabeauty,@clinicaamandabeauty,Saude & Clinicas,Saude & Clinicas | Beleza & Estetica,Clínica/Estética,Listar,,11,2026-05-17,1156773341; 11972007414,"Rua Tianguá, 135 - Vila Mascote São Paulo SP; Rua Tianguá, 135 - Vila Mascote; Rua Tianguá, 135 - Vila Mascote São Paulo/SP; Rua Tianguá, 135 – Vila Mascote; Rua Tianguá, 135 – Vila Mascote, São Paulo; Rua Tianguá, 135 – Vila Mascote, São Paulo/SP",não,"✨ Novidade na Vila Mascote! A gente ama compartilhar lugares que deixam momentos especiais ainda mais completos e cheios de praticidade. 🤍 A @clinicaamandabeauty acaba de criar o Studio Concept, um novo ambiente pensado especialmente para receber noivas, madrinhas, debutantes, formandas e grupos especiais. ✨ Quem já conhece a Amanda Beauty Concept sabe que, além do salão de beleza completo e dos tratamentos estéticos",https://www.instagram.com/p/DYdIL77RQIu/; https://www.instagram.com/p/DXUVWlXDm50/; https://www.instagram.com/p/DWCl9TfjG5w/; https://www.instagram.com/p/DU6jMM2Dl_N/; https://www.instagram.com/p/DTljZaYDvg6/; https://www.instagram.com/p/DSYTGh8joow/; https://www.instagram.com/p/DQcCa0ADtuJ/; https://www.instagram.com/p/DPJrfplDvRk/; https://www.instagram.com/p/DNsyT6g3JTS/; https://www.instagram.com/p/DMWBCAhRo-x/; https://www.instagram.com/p/DLf43wwR97J/
Clínicanavsaude,@clinicanavsaude,Saude & Clinicas,Saude & Clinicas,Nutricionista,Listar,,1,2025-08-11,1123658919,"Rua Albuquerque Sousa Muniz, 299",não,"🎫 10% OFF APRESENTANDO UM PRINT DESSE POST Hoje a gente foi visitar a @clinicanavsaude da Dra. @alinenaveganutri, que fica aqui na Mascote e também fizemos uma consulta com ela que foi excelente. 🤩🍊 A proposta da clínica é oferecer um atendimento nutricional completo e personalizado, com foco em emagrecimento e Nutrição Bariátrica. Tudo feito com carinho, profissionalismo e aquele cuidado especial que a gente valoriz",https://www.instagram.com/p/DNOCFJ-OpRK/
Clínicatoyomoto,@clinicatoyomoto,Saude & Clinicas,Saude & Clinicas,Odontologia,Listar,,1,2025-09-22,11937011698,"Av. Santa Catarina, 2005",não,"🎫AVALIAÇÃO COM RAIO-X PANORÂMICO Já conhece a @clinicatoyomoto? A clínica odontológica está há quase 10 anos aqui pertinho, na Catarina, e conta com profissionais com mais de 20 anos de experiência. 🦷😁 Com raio-x panorâmico, scanner iTero e especialistas em implantes, próteses e alinhadores, é uma opção completa para cuidar do sorriso. O atendimento é excelente e humanizado. ☺️🤝 Além disso, oferecem serviços como fac",https://www.instagram.com/p/DO6GYeOjjQ3/
Corpus Balance,@corpus.balance,Saude & Clinicas,"Saude & Clinicas | Beleza & Estetica | Academias, Esportes & Bem-Estar",Clinica / academia,Listar,,9,2026-05-25,11952200850; 11949357078,"Rua Lamelas, 41; Rua Lamelas, 41 - Vila Mascote",não,"Na @corpus.balance, saúde, desempenho e estética caminham juntos. 🤩😍 Você pode fazer treinos acompanhados por profissionais e tratamentos estéticos focados em resultados reais.✅ Na academia, você conta com o acompanhamento do professor em todos os treinos. 🏋️ Na estética, os tratamentos mais procurados são: ✨ Botox | Preenchimento | Limpeza de pele ✨ Microagulhamento | Peeling químico ✨ Tratamentos corporais que auxi",https://www.instagram.com/p/DYxg09bhF2z/; https://www.instagram.com/p/DXfJwTrD2cO/; https://www.instagram.com/p/DWPV-mnicWC/; https://www.instagram.com/p/DVPA1koDhnv/; https://www.instagram.com/p/DT02sdPDEgP/; https://www.instagram.com/p/DSlHUx6Dj0U/; https://www.instagram.com/p/DRfi8zmDk0-/; https://www.instagram.com/p/DQNGM92Dkhg/; https://www.instagram.com/p/DO9UE-qDj7z/
Curumim Clinica,@curumim.clinica,Saude & Clinicas,Saude & Clinicas | Infantil & Familia,Clinica multidisciplinar,Listar,,2,2026-05-26,11939181962,"Rua Albuquerque Sousa Muniz, 53",não,"A @curumim.clinica oferece diversas especialidades: terapia ABA, psicoterapia, avaliação neuropsicológica, integração sensorial, musicoterapia, fisioterapia, terapia ocupacional, nutrição, judô e educação física adaptados. 🧠✨ A clínica trabalha com um atendimento multidisciplinar completo para crianças, adultos e idosos, sempre com um olhar humanizado e acolhedor para cada paciente e sua família. 💙☺️ As sócias Gabi e",https://www.instagram.com/p/DYzkHtluQIf/; https://www.instagram.com/p/DV_6btLD9Oq/
Dra.juliana.nakashima,@dra.juliana.nakashima,Saude & Clinicas,"Saude & Clinicas | Academias, Esportes & Bem-Estar",Pilates/Fisioterapia,Listar,,11,2026-05-04,11920170738,"Rua Palestina, 359",sim,"Se você quer se livrar daquelas dores chatas no corpo, a gente indica a @dra.juliana.nakashima. ☺️🩻 Ela é fisioterapeuta osteopata com mais de 15 anos de experiência e atende aqui na Mascote. ❣️ A Dra. Juliana atende desde bebês até adultos e realiza avaliações detalhadas e personalizadas, ouvindo atentamente as queixas de cada paciente, para assim tratar a causa das dores, e não apenas os sintomas.🤝 Com uma formação",https://www.instagram.com/p/DX63pyOuDET/; https://www.instagram.com/p/DWy1B6KDt-C/; https://www.instagram.com/p/DVYthSsjhPD/; https://www.instagram.com/p/DUQpa_EjjS4/; https://www.instagram.com/p/DTIhw_4jhrN/; https://www.instagram.com/p/DRuXr1SDidJ/; https://www.instagram.com/p/DQmTFUWjuu_/; https://www.instagram.com/p/DPeMd8ajhGn/; https://www.instagram.com/p/DOEEbBuDj-t/; https://www.instagram.com/p/DM7-4UMO3SP/; https://www.instagram.com/p/DLkb6mBA7ev/
Dradeboradsouza,@dradeboradsouza,Saude & Clinicas,Saude & Clinicas | Beleza & Estetica,Clínica/Estética,Listar,,3,2025-08-20,11949357078,"Rua Lamelas, 41; Rua Lamelas, 41 (dentro da clínica @corpus.balance)",não,"🎫 VALORES PROMOCIONAIS + AVALIAÇÃO GRÁTIS DURANTE O MÊS DE AGOSTO A gente foi conhecer a clínica da @dradeboradsouza, que fica aqui na Mascote, e aproveitamos pra fazer o peeling químico.💆🏽 O procedimento ajuda a renovar a pele de forma controlada, trazendo mais luminosidade, firmeza e suavidade. Além disso, estimula a produção de colágeno, suaviza manchas e melhora a textura, deixando a pele com um aspecto mais jove",https://www.instagram.com/p/DNlvSeeubJG/; https://www.instagram.com/p/DMp9b1buyc-/; https://www.instagram.com/p/DLia9I4PTEj/
Dramarciabusato,@dramarciabusato,Saude & Clinicas,Saude & Clinicas | Beleza & Estetica,Clínica/Estética,Listar,,13,2026-05-26,11916289918,"Rua Engenheiro Jorge Oliva, 354",sim,"Se você quer dar ou receber um presente especial no dia dos namorados, a @dramarciabusato pode te ajudar com o preenchimento labial. 👄💉 Esse procedimento é minimamente invasivo e utiliza ácido hialurônico para aumentar o volume, melhorar o contorno, corrigir assimetrias e hidratar os lábios. É um método seguro e temporário, com duração média de 8 a 12 meses. 😍💋 A Dra. Márcia atende aqui na Mascote, e cada paciente re",https://www.instagram.com/p/DY0LGKjPL9S/; https://www.instagram.com/p/DXpdPaYgGMW/; https://www.instagram.com/p/DWj-ZDZjdD9/; https://www.instagram.com/p/DVMbmqrDsY9/; https://www.instagram.com/p/DUEYFQSDrEu/; https://www.instagram.com/p/DSvVOt-DlWt/; https://www.instagram.com/p/DRiF5K-juye/; https://www.instagram.com/p/DQU1KL7DrlT/; https://www.instagram.com/p/DPM0UJIDtl8/; https://www.instagram.com/p/DN6cDdvDiTP/; https://www.instagram.com/p/DMiyh8au0B1/; https://www.instagram.com/p/DLax_lsvmcm/; https://www.instagram.com/p/DKSrQEuuTQu/
Esteticamarianab,@esteticamarianab,Saude & Clinicas,Saude & Clinicas | Beleza & Estetica,Clínica/Estética,Listar,,3,2025-10-26,11997701995,"Av. Mascote, 486",não,"✨ Spa em casa? Aqui na Vila Mascote isso já é realidade!🌿 A @esteticamarianab é referência em cuidados faciais e corporais. Ela oferece tudo o que você precisa pra eliminar toxinas, reduzir medidas e recuperar aquela leveza que transforma o dia a dia! ✨ Formada em Estética e Cosmetologia, Mariana é habilitada no renomado método Renata França, famoso por resultados visíveis logo na primeira sessão, comparados a uma ve",https://www.instagram.com/p/DQRnC5Bjm9s/; https://www.instagram.com/p/DOoHZomDgry/; https://www.instagram.com/p/DNdbotdRGn9/
Hugopainodeoliveira,@hugopainodeoliveira,Saude & Clinicas,Saude & Clinicas,Odontologia,Listar,,1,2025-11-11,11985880856,"Av. Mascote, 877 – Vila Mascote, São Paulo – SP",sim,"O Consultório de Acupuntura @hugopainodeoliveira está aqui no bairro há mais de 12 anos, junto com o @estudiotheos, cuidando da saúde e do bem-estar. Com técnicas de Acupuntura, Reiki, Barras de Access e Terapia das Origens, o Hugo Paino de Oliveira transforma vidas com sensibilidade, conhecimento e dedicação. 🙌 As terapias são indicadas para dores no corpo, artrose, artrite, AVCs (Acidente Vascular Cerebral), dores ",https://www.instagram.com/p/DQ7jWkpDqQm/
Keila Xn,@keila.xn,Saude & Clinicas,Saude & Clinicas | Beleza & Estetica,Clínica/Estética,Listar,,1,2025-10-01,1156779171,"Rua Ossian Terceiro Teles, 43 – Jardim Prudência.; Rua Ossian Terceiro Teles, 43 – Jardim Prudência",não,"🎫10% OFF NO PRIMEIRO SERVIÇO Quem busca renovar o visual, precisa conhecer a @keila.xn. Ela é cabeleireira e visagista, especialista em valorizar a identidade e a personalidade através dos fios.💇🏻‍♀️😍 O atendimento acontece aqui pertinho, no Jardim Prudência, dentro do espaço @llabellelu, pensado para oferecer todo o cuidado que você merece.💁🏻‍♀️🤩 Entre os serviços, dá pra encontrar: • Corte de cabelo com técnica vis",https://www.instagram.com/p/DPR9HlLjr2A/
Kravmaga Vila Mascote,@kravmagavilamascote,Saude & Clinicas,"Saude & Clinicas | Academias, Esportes & Bem-Estar | Educacao & Cursos",Pilates/Fisioterapia,Listar,,1,2025-09-05,11970419797,"Avenida Santa Catarina,788",não,"A gente foi visitar o @kravmagavilamascote, que já está no bairro desde 2019 e é o único centro da federação internacional de Krav Magá aqui no bairro. 🥊🇮🇱 Pra quem ainda não conhece, o Krav Magá é um sistema israelense de defesa pessoal. O objetivo principal é se defender de forma eficaz contra qualquer tipo de agressão.✅😊 No studio você também pode fazer Pilates, e quem se matricular no Krav Magá dizendo que viu aq",https://www.instagram.com/p/DOOWg4rjvX8/
Marciabarbezan,@marciabarbezan,Saude & Clinicas,Saude & Clinicas,Saude & Clinicas,Revisar,Profissional citado em talk-show; validar endereco/atendimento antes de listar.,1,2025-07-21,,,não,"O talk-show da Mascote recebeu @marciabarbezan, terapeuta integrativa, falando sobre intuição, energia e autoconhecimento. O @negociosapartets é programa que recebe diversos vizinhos empreendedores aqui do bairro e mistura humor, histórias reais e muito conteúdo inspirador. E muitas vezes a Mascote também vira assunto. O episódio completo está no YouTube. Acesse pelo Instagram do programa (link na bio) ou digite nego",https://www.instagram.com/p/DMXnDfcM3tL/
Negociosapartets,@negociosapartets,Saude & Clinicas,Saude & Clinicas | Beleza & Estetica,Nutricionista,Revisar,Conteudo/podcast; provavelmente nao listar como estabelecimento.,4,2025-11-17,,,não,"No novo episódio do @negociosapartets, Amanda Betonio e Clea Rodrigues, duas empreendedoras da Vila Mascote, transformaram talento e parceria no Amanda Beauty Concept. Amanda, com 29 anos de profissão, e Clea, nutricionista que deixou o mundo corporativo para empreender, contam como construíram juntas um conceito inovador que virou referência. O link do episódio completo está no perfil do Negócios à Parte. @negociosa",https://www.instagram.com/p/DRI6l59DPMY/; https://www.instagram.com/p/DO3whUODvoE/; https://www.instagram.com/p/DMqsPpJxFxB/; https://www.instagram.com/p/DMoOQ64RLRe/
Oralsinsaopaulo Vila Mascote,@oralsinsaopaulovilamascote,Saude & Clinicas,Saude & Clinicas,Odontologia,Listar,,1,2025-05-29,11930249566,"Rua Palacete das Águias, 211",não,"🎫CONDIÇÕES ESPECIAIS PARA OS NOSSOS SEGUIDORES O que já era referência aqui na Mascote agora tem um novo nome! O Núcleo Première agora é @oralsinsaopaulovilamascote. ☺️🦷 A mudança é só na marca, porque a equipe, o atendimento acolhedor e a qualidade continuam os mesmos. Tudo segue sob o comando da @draelisangelablois que já cuida do nosso sorriso faz tempo. 😁🪥 A @oralsinsaopaulovilamascote faz parte de uma das maiore",https://www.instagram.com/p/DKQCILCuJVn/
Oticasdiniz Mascote,@oticasdinizmascote,Saude & Clinicas,"Saude & Clinicas | Mercados, Emporios & Conveniencia",Otica,Listar,,3,2026-04-01,1155655554; 11916186879,"Avenida Santa Catarina, 1.870 (ao lado da Kalunga)",não,"🎫 5% OFF PARA OS NOSSOS SEGUIDORES Manter a saúde dos seus olhos em dia começa com a escolha certa dos seus acessórios. Na @oticasdinizmascote, você encontra o suporte completo para cuidar da sua visão com excelência. 🤓🥰 A loja que fica aqui pertinho, na Catarina, conta com uma linha completa de óculos de grau, óculos de sol e lentes de contato, unindo a qualidade e a garantia que os óculos Diniz proporcionam para o ",https://www.instagram.com/p/DWl8bP7Dkrx/; https://www.instagram.com/p/DVbP_Qxjknn/; https://www.instagram.com/p/DUa2cfDDrhG/
Oticasdinizcatarina,@oticasdinizcatarina,Saude & Clinicas,"Saude & Clinicas | Mercados, Emporios & Conveniencia",Otica,Listar,,3,2025-11-06,11916186879; 1155655554,"Avenida Santa Catarina, 1.870",não,"🎫 BLACK FRIDAY COM DESCONTOS DE ATÉ 70% EM ARMAÇÕES E ÓCULOS DE SOL Se você precisa de lentes de contato, na @oticasdinizcatarina você encontra uma opção exclusiva: a DNZ. 😍😎 A marca possui um excelente custo-benefício e uma tecnologia inovadora. E se você nunca usou lentes de contato, as vendedoras te explicam direitinho como usar e cuidar corretamente. 🤝✅ Além das lentes de contato, você também encontra óculos de g",https://www.instagram.com/p/DQuCHqWjoR9/; https://www.instagram.com/p/DPT4Gu4jpyL/; https://www.instagram.com/p/DOYqlnJDhr7/
Pilatesspacoequilibrium,@pilatesspacoequilibrium,Saude & Clinicas,"Saude & Clinicas | Academias, Esportes & Bem-Estar",Pilates/Fisioterapia,Listar,,12,2026-05-15,1156773560; 11999216214,"Rua Palestina, 235",sim,"Se você sente dores no corpo, principalmente na região da lombar, a terapia de onda de choque do @pilatesspacoequilibrium pode ser uma solução. 😉💚🧘🏻‍♀️ A terapia de onda de choque é um tratamento não invasivo e altamente eficaz para dores crônicas musculoesqueléticas, utilizando ondas acústicas de alta energia para estimular a regeneração tecidual, aumentar a circulação e aliviar a dor. ✅💥 Indicada para: ✔️ Lombalgia",https://www.instagram.com/p/DYXOXJmum0b/; https://www.instagram.com/p/DXJ_SDzDipo/; https://www.instagram.com/p/DV_SwitDlkd/; https://www.instagram.com/p/DU-5_jsjoJP/; https://www.instagram.com/p/DTvt6Iyjm81/; https://www.instagram.com/p/DSTGRX4DsbA/; https://www.instagram.com/p/DRUgbW6jh-R/; https://www.instagram.com/p/DQFd-Qwjr0U/; https://www.instagram.com/p/DOv030xDuSy/; https://www.instagram.com/p/DN3MZkrXIi6/; https://www.instagram.com/p/DMQL80dO6Jn/; https://www.instagram.com/p/DLSbYoPOarl/
